state,number of graduates,Population,% graduate
Florida,26590,19091156.0,0.13927915103726562
Florida,200,19091156.0,0.0010476054985879325
Florida,17248,19091156.0,0.0903454981982233
Florida,474,19091156.0,0.0024828250316534
Florida,3167,19091156.0,0.016588833070139912
Florida,463,19091156.0,0.0024252067292310636
Florida,3425,19091156.0,0.017940244163318346
Florida,449,19091156.0,0.0023518743443299087
Florida,16039,19091156.0,0.08401272295925925
Florida,614,19091156.0,0.0032161488806649527
Florida,3057,19091156.0,0.01601265004591655
Florida,4288,19091156.0,0.022460661889725272
Georgia,511,9810417.0,0.005208749026672363
Florida,10533,19091156.0,0.05517214358313347
Florida,66298,19091156.0,0.34727074672691377
Florida,11380,19091156.0,0.059608752869653364
Florida,189,19091156.0,0.0009899871961655963
Florida,768,19091156.0,0.004022805114577661
Florida,738,19091156.0,0.0038656642897894715
Florida,1179,19091156.0,0.006175634414175862
Florida,14263,19091156.0,0.07470998613179841
Florida,612,19091156.0,0.0032056728256790734
Florida,5156,19091156.0,0.027007269753596904
Florida,6708,19091156.0,0.035136688422639256
Florida,714,19091156.0,0.0037399516299589193
Florida,2887,19091156.0,0.015122185372116806
Florida,29763,19091156.0,0.15589941227236317
Florida,10206,19091156.0,0.0534593085929422
Florida,11235,19091156.0,0.058849238883177106
Florida,11085,19091156.0,0.05806353475923616
Florida,1253,19091156.0,0.006563248448653398
Florida,2608,19091156.0,0.01366077570158664
Florida,12640,19091156.0,0.06620866751075734
Florida,31820,19091156.0,0.16667403482534007
Florida,15113,19091156.0,0.07916230950079713
Florida,131,19091156.0,0.0006861816015750958
Florida,18427,19091156.0,0.09652113261239917
Florida,6127,19091156.0,0.032093394449241315
Florida,2699,19091156.0,0.01413743620344415
Florida,31100,19091156.0,0.1629026550304235
Florida,1035,19091156.0,0.0054213584551925514
Florida,2729,19091156.0,0.01429457702823234
Florida,3083,19091156.0,0.01614883876073298
Florida,13509,19091156.0,0.0707605134021219
Florida,738,19091156.0,0.0038656642897894715
Florida,468,19091156.0,0.0024513968666957623
Florida,6499,19091156.0,0.03404194067661487
Florida,301,19091156.0,0.0015766462753748383
Florida,224,19091156.0,0.0011733181584184845
Florida,42180,19091156.0,0.220939999652195
Florida,1043,19091156.0,0.0054632626751360686
Florida,667,19091156.0,0.003493764337790755
Florida,5640,19091156.0,0.0295424750601797
Florida,10158,19091156.0,0.0532078832732811
Georgia,3394,9810417.0,0.03459587905386693
Georgia,915,9810417.0,0.009326820664198066
Georgia,383,9810417.0,0.0039040134583473874
Georgia,3894,9810417.0,0.03969250236763636
Georgia,6195,9810417.0,0.0631471628576033
Georgia,3660,9810417.0,0.037307282656792264
Georgia,316,9810417.0,0.003221065934302283
Georgia,6377,9810417.0,0.06500233374381537
Georgia,3078,9810417.0,0.031374813119564644
Georgia,4859,9810417.0,0.04952898536321137
Georgia,1439,9810417.0,0.014668081897028435
Georgia,3016,9810417.0,0.030742831828657235
Georgia,2629,9810417.0,0.02679804538379969
Georgia,4379,9810417.0,0.04463622698199272
Georgia,2695,9810417.0,0.02747079966121726
Georgia,751,9810417.0,0.0076551282172816915
Georgia,2141,9810417.0,0.02182374102956072
Georgia,554,9810417.0,0.005647058631656534
Georgia,1700,9810417.0,0.01732851926681608
Georgia,693,9810417.0,0.0070639199128844365
Georgia,233,9810417.0,0.002375026464216557
Georgia,2987,9810417.0,0.030447227676458605
Georgia,6915,9810417.0,0.07048630042943128
Georgia,103,9810417.0,0.0010499044026365037
Georgia,6893,9810417.0,0.07026204900362544
Georgia,3739,9810417.0,0.03811254914036783
Georgia,7013,9810417.0,0.07148523859893009
Georgia,6051,9810417.0,0.061679335343237704
Georgia,1104,9810417.0,0.011253344276802912
Georgia,5015,9810417.0,0.05111913183710743
Georgia,777,9810417.0,0.007920152629597702
Georgia,2857,9810417.0,0.029122105614878553
Georgia,806,9810417.0,0.00821575678179633
Georgia,7836,9810417.0,0.07987428057339459
Georgia,5492,9810417.0,0.05598131047844347
Georgia,2858,9810417.0,0.02913229886150609
Georgia,14558,9810417.0,0.14839328440371088
Georgia,2667,9810417.0,0.027185388755646165
Georgia,5729,9810417.0,0.05839710992917019
Georgia,1651,9810417.0,0.016829050182066676
Georgia,17904,9810417.0,0.18249988761945593
Georgia,24868,9810417.0,0.25348565713363663
Georgia,26278,9810417.0,0.26785813487846644
Georgia,4187,9810417.0,0.042679123629505246
Georgia,5177,9810417.0,0.05277043779076873
Georgia,174,9810417.0,0.0017736249131917634
Georgia,368,9810417.0,0.0037511147589343046
Georgia,7180,9810417.0,0.07318751078572909
Georgia,22621,9810417.0,0.23058143196155678
